,ID_昼お魚,name_昼お魚,曜日,個数,周辺平均,人気度,基本数
2021-04-05,,鮭の塩焼き,0.0,100.0,94.27777777777777,1.060695344725987,90.9090909090909
2021-04-06,,さばの煮付60ｇ,1.0,112.0,112.72727272727272,0.9935483870967743,124.0
2021-04-07,,白身魚野菜甘酢あん,2.0,114.0,100.44444444444444,1.1,103.63636363636363
2021-04-09,,さわらの西京焼き　,4.0,92.0,89.09090909090908,1.03265306122449,98.0
2021-04-12,,鮭の塩焼き,0.0,86.0,91.95454545454545,0.935244686109738,95.55555555555556
2021-04-13,,白身魚チリソース,1.0,124.0,120.0,1.0333333333333334,112.72727272727272
2021-04-14,,さばおろし煮,2.0,92.0,98.32323232323233,0.9356893363468255,102.22222222222221
2021-04-15,,カレイ南蛮漬け,3.0,84.0,73.53535353535352,1.1,76.36363636363636
2021-04-16,,さわらの西京焼き　,4.0,98.0,89.0,1.1,89.09090909090908
2021-04-19,,鮭の塩焼き,0.0,92.0,93.23232323232324,0.9867822318526543,93.0
2021-04-21,,さわらの西京焼き　,2.0,104.0,99.50841750841751,1.0451377140150233,98.66666666666667
2021-04-22,,白身魚の南蛮漬け,3.0,86.0,77.25084175084174,1.1,78.18181818181817
2021-04-27,,白身魚南蛮漬け,1.0,106.0,109.69696969696969,0.9662983425414365,116.0
2021-04-28,,あじの塩こうじ焼き　60ｇ,2.0,90.0,97.33333333333333,0.9246575342465754,92.66666666666667
2021-04-29,,さわらの西京焼き　,3.0,62.0,81.625,0.9,68.88888888888889
2021-04-30,,太刀魚の煮付け　60ｇ,4.0,72.0,87.08585858585859,0.9,80.0
2021-05-06,,白身魚フライタルタルソース,3.0,82.0,81.76767676767676,1.00284126003706,86.5
2021-05-07,,赤魚の西京焼き　60g,4.0,80.0,87.2878787878788,0.9165075507724353,86.66666666666667
2021-05-10,,白身魚唐揚げ野菜あん　昼,0.0,120.0,95.02777777777777,1.1,109.09090909090908
2021-05-11,,あじの塩こうじ焼き　60ｇ,1.0,108.0,109.2121212121212,0.9889012208657049,106.66666666666667
2021-05-12,,さばの煮付60ｇ,2.0,82.0,96.17676767676767,0.9,91.11111111111111
2021-05-13,,カレイの漬け焼き　70ｇ,3.0,94.0,85.98358585858585,1.0932319123628835,85.45454545454545
2021-05-14,,鮭の塩焼き,4.0,82.0,88.00757575757576,0.9317379702160626,85.5
